SCALERANK,NATSCALE,LABELRANK,FEATURECLA,NAME,NAMEPAR,NAMEALT,DIFFASCII,NAMEASCII,ADM0CAP,CAPALT,CAPIN,WORLDCITY,MEGACITY,SOV0NAME,SOV_A3,ADM0NAME,ADM0_A3,ADM1NAME,ISO_A2,NOTE,LATITUDE,LONGITUDE,CHANGED,NAMEDIFF,DIFFNOTE,POP_MAX,POP_MIN,POP_OTHER,RANK_MAX,RANK_MIN,GEONAMEID,MEGANAME,LS_NAME,LS_MATCH,CHECKME,MAX_POP10,MAX_POP20,MAX_POP50,MAX_POP300,MAX_POP310,MAX_NATSCA,MIN_AREAKM,MAX_AREAKM,MIN_AREAMI,MAX_AREAMI,MIN_PERKM,MAX_PERKM,MIN_PERMI,MAX_PERMI,MIN_BBXMIN,MAX_BBXMIN,MIN_BBXMAX,MAX_BBXMAX,MIN_BBYMIN,MAX_BBYMIN,MIN_BBYMAX,MAX_BBYMAX,MEAN_BBXC,MEAN_BBYC,COMPARE,GN_ASCII,FEATURE_CL,FEATURE_CO,ADMIN1_COD,GN_POP,ELEVATION,GTOPO30,TIMEZONE,GEONAMESNO,UN_FID,UN_ADM0,UN_LAT,UN_LONG,POP1950,POP1955,POP1960,POP1965,POP1970,POP1975,POP1980,POP1985,POP1990,POP1995,POP2000,POP2005,POP2010,POP2015,POP2020,POP2025,POP2050,CITYALT,airport,time,valid,timetoairport
7,20,2,Populated place,Ciudad Guzman,,,0,Ciudad Guzman,0,0,,0,0,Mexico,MEX,Mexico,MEX,Jalisco,MX,,19.710411,-103.46,0,0,,92161,88799,92161,8,8,4013714,,Ciudad Guzman,1,0,92161,92161,0,0,0,20,21,21,8,8,25,25,16,16,-103.5,-103.5,-103.441667,-103.441667,19.675,19.675,19.733333,19.733333,-103.466667,19.706731,0,Ciudad Guzman,P,PPL,14,88799,0,1572,America/Mexico_City,Geonames ascii name + lat.d + long.d matching.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,CLQ,20.518591721548688,true,0.8852777777777778 
7,20,2,Populated place,La Barca,,,0,La Barca,0,0,,0,0,Mexico,MEX,Mexico,MEX,Jalisco,MX,,20.280376,-102.560004,0,0,,35345,34449,37554,7,7,4003526,,La Barca,1,1,35345,35345,0,0,0,20,10,10,4,4,18,18,11,11,-102.566667,-102.566667,-102.533333,-102.533333,20.258333,20.258333,20.308333,20.308333,-102.549679,20.284936,0,La Barca,P,PPL,14,34449,0,1555,America/Mexico_City,Geonames ascii name + lat.d + long.d matching.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,GDL,20.722623940772195,true,1.5772222222222223 
7,20,2,Populated place,Lagos de Moreno,,,0,Lagos de Moreno,0,0,,0,0,Mexico,MEX,Mexico,MEX,Jalisco,MX,,21.370413,-101.92999,0,0,,94127,84677,94127,8,8,4002224,,Lagos de Moreno,1,0,94127,94127,0,0,0,20,41,41,16,16,43,43,27,27,-101.958333,-101.958333,-101.866667,-101.866667,21.333333,21.333333,21.4,21.4,-101.913942,21.365545,0,Lagos de Moreno,P,PPL,14,84677,0,1873,America/Mexico_City,Geonames ascii name + lat.d + long.d matching.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,AGU,19.830930846185808,true,0.9638888888888889 
7,20,2,Admin-1 capital,Morelia,,,0,Morelia,0,0,,0,0,Mexico,MEX,Mexico,MEX,Michoac,MX,,19.733381,-101.189493,1,1,Location adjusted. Changed scale rank.,644306,592797,644467,11,11,3995402,,Morelia,1,0,644306,0,0,0,0,10,96,96,37,37,63,63,39,39,-101.258333,-101.258333,-101.125,-101.125,19.641667,19.641667,19.758333,19.758333,-101.193032,19.707808,1,Morelia,P,PPL,16,592797,0,1906,America/Mexico_City,GeoNames spatial join with similar names only.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,MLM,19.048784745155626,false, 
7,20,2,Populated place,Lazaro Cardenas,,,0,Lazaro Cardenas,0,0,,0,0,Mexico,MEX,Mexico,MEX,MichoacCn,MX,,17.958709,-102.199974,0,0,,160087,84001,160087,9,8,4026082,,Lazaro Cardenas,1,0,160087,160087,0,0,0,20,66,66,25,25,60,60,37,37,-102.241667,-102.241667,-102.15,-102.15,17.916667,17.916667,18.033333,18.033333,-102.202829,17.96929,0,Lazaro Cardenas,P,PPL,16,84001,0,4,America/Mexico_City,Geonames ascii name + lat.d + long.d matching.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,LZC,19.55686782429443,true,0.09861111111111112 
7,20,2,Populated place,Zamora,,,0,Zamora,0,0,,0,0,Mexico,MEX,Mexico,MEX,Michoacen,MX,,19.980368,-102.280021,0,0,,214947,124916,214947,10,9,3979802,,Zamora1,1,0,214947,214947,0,0,0,20,31,31,12,12,34,34,21,21,-102.325,-102.325,-102.266667,-102.266667,19.933333,19.933333,20.025,20.025,-102.293269,19.978953,0,Zamora de Hidalgo,P,PPL,16,124916,0,1590,America/Mexico_City,GeoNames spatial join with similar names only.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,UPN,24.536188088654953,true,2.1244444444444444 
7,20,2,Populated place,Coalcoman,,,0,Coalcoman,0,0,,0,0,Mexico,MEX,Mexico,MEX,Michoacan,MX,,18.78039,-103.149968,0,0,,10715,8660,0,6,5,4013669,,Coalcoman,1,0,8660,8660,0,0,0,20,4,4,2,2,11,11,7,7,-103.175,-103.175,-103.15,-103.15,18.766667,18.766667,18.791667,18.791667,-103.1625,18.7775,0,Coalcoman de Matamoros,P,PPL,16,10715,0,1059,America/Mexico_City,GeoNames spatial join with similar names only.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,CLQ,22.332480610437578,true,2.6991666666666663 
7,20,2,Populated place,Uruapan,,,0,Uruapan,0,0,,0,0,Mexico,MEX,Mexico,MEX,Michoac,MX,,19.420377,-102.070008,0,0,,264531,237308,264531,10,10,3980760,,Uruapan,1,0,264531,264531,0,0,0,20,38,38,15,15,41,41,26,26,-102.083333,-102.083333,-102.016667,-102.016667,19.366667,19.366667,19.458333,19.458333,-102.051152,19.414805,0,Uruapan del Progreso,P,PPL,16,237308,0,1664,America/Mexico_City,GeoNames spatial join with similar names only.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,UPN,22.543688088654953,true,0.13194444444444445 
7,20,2,Populated place,Tuxpan,,,0,Tuxpan,0,0,,0,0,Mexico,MEX,Mexico,MEX,Nayarit,MX,,21.930404,-105.269967,0,0,,26115,26115,0,7,7,-1,,Tuxpan,1,0,26115,26115,0,0,0,20,10,10,4,4,20,20,12,12,-105.316667,-105.316666,-105.258333,-105.258333,21.933332,21.933333,21.966667,21.966669,-105.296474,21.945833,0,,,,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TPQ,21.57957132130847,true,1.6672222222222222 
7,20,2,Admin-1 capital,Tepic,,,0,Tepic,0,0,,0,0,Mexico,MEX,Mexico,MEX,Nayarit,MX,,21.505391,-104.879991,0,0,,318781,280592,318781,10,10,3981941,,Tepic,1,0,318781,318781,0,0,0,20,51,51,20,20,46,46,29,29,-104.941667,-104.941667,-104.841667,-104.841667,21.458333,21.458333,21.541667,21.541667,-104.887891,21.503776,0,Tepic,P,PPL,18,280592,0,966,America/Mazatlan,Geonames ascii name + lat.d + long.d matching.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TPQ,20.45373798797514,true,0.5413888888888889 
7,20,2,Populated place,Compostela,,,0,Compostela,0,0,,0,0,Mexico,MEX,Mexico,MEX,Nayarit,MX,,21.230421,-104.89999,0,0,,16162,14222,14222,6,6,4013085,,Compostela,1,0,14222,14222,0,0,0,20,7,7,3,3,13,13,8,8,-104.916667,-104.916667,-104.883333,-104.883333,21.225,21.225,21.25,21.25,-104.901389,21.236574,0,Compostela,P,PPL,18,16162,0,890,America/Mazatlan,Geonames ascii name + lat.d + long.d matching.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TPQ,20.910126876864027,true,0.9977777777777778 
7,20,2,Populated place,Tecuala,,,0,Tecuala,0,0,,0,0,Mexico,MEX,Mexico,MEX,Nayarit,MX,,22.400427,-105.459982,0,0,,14921,10583,10583,6,6,3982168,,Tecuala,1,0,10583,10583,0,0,0,20,5,5,2,2,11,11,7,7,-105.475,-105.475,-105.441667,-105.441667,22.391667,22.391667,22.408333,22.408333,-105.458333,22.398611,0,Tecuala,P,PPL,18,14921,0,15,America/Mazatlan,Geonames ascii name + lat.d + long.d matching.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,MZT,21.691748522616724,true,2.626111111111111 
7,20,2,Populated place,Ciudad del Carmen,,,0,Ciudad del Carmen,0,0,,0,0,Mexico,MEX,Mexico,MEX,Campeche,MX,,18.653659,-91.82448,4,0,Location adjusted.,156195,141308,0,9,9,3530599,,Ciudad del Carmen,1,0,156195,156195,0,0,0,20,24,24,9,9,25,25,16,16,-91.85,-91.85,-91.775,-91.775,18.633333,18.633333,18.666667,18.666667,-91.811063,18.649569,0,Ciudad del Carmen,P,PPL,4,141308,0,1,America/Merida,Geonames ascii name + lat.d + long.d matching.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,CME,19.22165758047409,true,0.0961111111111111 
7,20,2,Populated place,Champoton,,,0,Champoton,0,0,,0,0,Mexico,MEX,Mexico,MEX,Campeche,MX,,19.350433,-90.720003,0,0,,26636,24809,26636,7,7,3531177,,Champoton,1,0,26636,26636,0,0,0,20,11,11,4,4,18,18,11,11,-90.733333,-90.733333,-90.708333,-90.708333,19.316667,19.316667,19.375,19.375,-90.720833,19.345238,0,Champoton,P,PPL,4,24809,0,3,America/Merida,Geonames ascii name + lat.d + long.d matching.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,CPE,21.172807153528375,true,0.83 
7,20,2,Populated place,Salina Cruz,,,0,Salina Cruz,0,0,,0,0,Mexico,MEX,Mexico,MEX,Oaxaca,MX,,16.167061,-95.199988,0,0,,81063,73648,81697,8,8,3520064,,Salina Cruz,1,0,81063,81063,0,0,0,20,35,35,13,13,40,40,25,25,-95.225,-95.225,-95.158333,-95.158333,16.158333,16.158333,16.241667,16.241667,-95.196825,16.199206,0,Salina Cruz,P,PPL,20,73648,0,1,America/Mexico_City,Geonames ascii name + lat.d + long.d matching.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,HUX,19.580524218408456,false, 
7,20,2,Populated place,Puerto Escondido,,,0,Puerto Escondido,0,0,,0,0,Mexico,MEX,Mexico,MEX,Oaxaca,MX,,15.85918,-97.065888,4,0,Location adjusted.,19488,11317,0,6,6,3520994,,Puerto Escondido,1,0,11317,11317,0,0,0,20,14,14,5,5,24,24,15,15,-97.108333,-97.108333,-97.058333,-97.058333,15.858333,15.858333,15.9,15.9,-97.079657,15.876716,0,Puerto Escondido,P,PPL,20,19488,0,1,America/Mexico_City,GeoNames match with ascii name + lat + long whole numbers.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,PXM,19.67017441818738,true,0.07833333333333334 
7,20,2,Populated place,Pochutla,,,0,Pochutla,0,0,,0,0,Mexico,MEX,Mexico,MEX,Oaxaca,MX,,15.730395,-96.469988,0,0,,24481,13078,0,7,6,3517970,,Pochutla,1,0,24481,24481,0,0,0,20,12,12,5,5,20,20,12,12,-96.483333,-96.483333,-96.441667,-96.441667,15.725,15.725,15.775,15.775,-96.460278,15.750278,0,San Pedro Pochutla,P,PPL,20,13078,0,120,America/Mexico_City,GeoNames spatial join with similar names only.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,HUX,19.580524218408456,false, 
7,20,2,Populated place,Mitla,,,0,Mitla,0,0,,0,0,Mexico,MEX,Mexico,MEX,Oaxaca,MX,,16.917041,-96.399992,0,0,,7547,1079,0,5,3,3518117,,Mitla,1,0,1079,1079,0,0,0,20,1,1,0,0,4,4,2,2,-96.416667,-96.416667,-96.408333,-96.408333,16.916667,16.916667,16.925,16.925,-96.4125,16.920833,0,San Pablo Villa de Mitla,P,PPL,20,7547,0,1662,America/Mexico_City,GeoNames spatial join with similar names only.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OAX,20.116532709333466,true,0.9769444444444445 
7,20,2,Populated place,Tlaxiaco,,,0,Tlaxiaco,0,0,,0,0,Mexico,MEX,Mexico,MEX,Oaxaca,MX,,17.270404,-97.680017,0,0,,21391,14608,21391,7,6,3517285,,Tlaxiaco,1,0,21391,21391,0,0,0,20,6,6,2,2,13,13,8,8,-97.691667,-97.691667,-97.666667,-97.666667,17.25,17.25,17.283333,17.283333,-97.681548,17.267262,0,Santa Maria Asuncion Tlaxiaco,P,PPL,20,14608,0,2082,America/Mexico_City,GeoNames spatial join with similar names only.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OAX,21.79375493155569,true,2.654166666666667 
7,20,2,Populated place,Huajuapan de Leon,,,0,Huajuapan de Leon,0,0,,0,0,Mexico,MEX,Mexico,MEX,Oaxaca,MX,,17.810372,-97.789985,0,0,,47844,35689,35516,7,7,3527023,,Huajuapan de Leon,1,0,35689,35516,0,0,0,20,39,39,15,15,63,63,39,39,-97.825,-97.825,-97.733333,-97.733333,17.766667,17.766667,17.866667,17.866667,-97.774306,17.814236,0,Huajuapan de Leon,P,PPL,20,47844,0,1600,America/Mexico_City,Geonames ascii name + lat.d + long.d matching.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OAX,21.932921598222354,true,2.7933333333333334 
7,20,2,Populated place,Teziutlan,,,0,Teziutlan,0,0,,0,0,Mexico,MEX,Mexico,MEX,Puebla,MX,,19.82043,-97.359985,0,0,,177796,70819,177956,9,8,3515696,,Teziutlan,1,0,177796,177796,0,0,0,20,85,85,33,33,121,121,75,75,-97.408333,-97.408333,-97.216667,-97.216667,19.741667,19.741667,19.866667,19.866667,-97.309722,19.799881,0,Teziutlan,P,PPL,21,70819,0,1861,America/Mexico_City,Geonames ascii name + lat.d + long.d matching.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,JAL,20.56978827046793,true,1.3272222222222223 
7,20,2,Populated place,Tehuacan,,,0,Tehuacan,0,0,,0,0,Mexico,MEX,Mexico,MEX,Puebla,MX,,18.450358,-97.379984,0,0,,241429,237312,237312,10,10,3516109,,Tehuacan,1,0,237312,237312,0,0,0,20,46,46,18,18,36,36,22,22,-97.45,-97.45,-97.366667,-97.366667,18.425,18.425,18.508333,18.508333,-97.402266,18.468933,0,Tehuacan,P,PPL,21,241429,0,1555,America/Mexico_City,GeoNames match with ascii name + lat + long whole numbers.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,JAL,22.447843826023487,true,3.205277777777778 
7,20,2,Populated place,Salamanca,,,0,Salamanca,0,0,,0,0,Mexico,MEX,Mexico,MEX,Guanajuato,MX,,20.57041,-101.200009,0,0,,197524,138614,20068,9,9,3988214,,Salamanca1,1,0,197524,197524,0,0,0,20,47,47,18,18,45,45,28,28,-101.241667,-101.241667,-101.15,-101.15,20.533333,20.533333,20.608333,20.608333,-101.193573,20.570975,0,Salamanca,P,PPL,11,138614,0,1715,America/Mexico_City,Geonames ascii name + lat.d + long.d matching.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BJX,19.766988711659188,true,0.8680555555555556 
7,20,2,Populated place,Tenosique,,,0,Tenosique,0,0,,0,0,Mexico,MEX,Mexico,MEX,Tabasco,MX,,17.480366,-91.429985,0,0,,32415,17484,17484,7,6,3515956,,Tenosique,1,0,17484,17484,0,0,0,20,11,11,4,4,14,14,9,9,-91.441667,-91.441667,-91.408333,-91.408333,17.45,17.45,17.483333,17.483333,-91.422115,17.467628,0,Tenosique de Pino Suarez,P,PPL,27,32415,0,19,America/Mexico_City,GeoNames spatial join with similar names only.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,CME,24.677213136029646,true,5.551666666666667 
7,20,2,Populated place,Frontera,,,0,Frontera,0,0,,0,0,Mexico,MEX,Mexico,MEX,Tabasco,MX,,18.580376,-92.649988,0,0,,22621,7407,7407,7,5,3527545,,Frontera,1,0,7407,7407,0,0,0,20,2,2,1,1,5,5,3,3,-92.65,-92.65,-92.641667,-92.641667,18.566667,18.566667,18.583333,18.583333,-92.645833,18.575,0,Frontera,P,PPL,27,22621,0,2,America/Merida,Geonames ascii name + lat.d + long.d matching.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,VSA,20.156485668686745,true,1.7166666666666666 
7,20,2,Admin-1 capital,Guanajuato,,,0,Guanajuato,0,0,,0,0,Mexico,MEX,Mexico,MEX,Guanajuato,MX,,21.020408,-101.279978,0,0,,112200,78364,112200,9,8,4005270,,Guanajuato,1,0,112200,112200,0,0,0,20,29,29,11,11,32,32,20,20,-101.3,-101.3,-101.233333,-101.233333,20.991667,20.991667,21.058333,21.058333,-101.264352,21.021991,0,Guanajuato,P,PPL,11,78364,0,2142,America/Mexico_City,Geonames ascii name + lat.d + long.d matching.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BJX,19.283933156103632,true,0.385 
7,20,2,Populated place,Ayutla,,,0,Ayutla,0,0,,0,0,Mexico,MEX,Mexico,MEX,Guerrero,MX,,16.900375,-99.220001,4,0,Population from GeoNames.,9897,9897,0,5,5,3532499,,Ayutla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ayutla de los Libres,P,PPL,12,9897,0,258,America/Mexico_City,GeoNames spatial join with similar names only.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ACA,19.35588424962587,false, 
7,20,2,Populated place,Taxco,,,0,Taxco,0,0,,0,0,Mexico,MEX,Mexico,MEX,Guerrero,MX,,18.570377,-99.619951,4,0,Population from GeoNames.,53217,53217,21546,8,8,3516225,,Taxco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Taxco de Alarcon,P,PPL,12,53217,0,1620,America/Mexico_City,GeoNames spatial join with similar names only.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TLC,23.789951370782678,true,2.5561111111111114 
