valid,lat,lon,name,adm,airport,allairport,alltime,nonairport,nontime,oneairport,onetime,twoairport,twotime,time
true,16.519959,80.630003,Vijayawada,IND,,VGA,,HYD,,VGA,,TRR,,19.657486602633956 
true,34.099972,74.815009,Srinagar,IND,,SXR,,ISB,,KDU,,SXR,,18.235377966385037 
true,-1.678799,29.221787,Goma,COD,,GOM,,EBB,,KGL,,KME,,19.482689479715436 
true,8.499984,76.950021,Thiruvananthapuram,IND,,TRV,,CMB,,TRV,,HAQ,,20.19702435001863 
true,13.453876,-16.591701,Banjul,GMB,,BJL,,FNA,,BJL,,ZIG,,13.91873280026123 
true,28.433333,77.316667,Faridabad,IND,,DEL,,DEL,,DED,,AGR,,15.774268702207827 
true,20.470002,85.889941,Cuttack,IND,,BBI,,DAC,,BBI,,IXA,,19.79423806548646 
true,12.900025,74.849994,Mangalore,IND,,IXE,,BLR,,IXE,,AGX,,19.465964677946474 
true,10.015008,76.223916,Kochi,IND,,COK,,BLR,,COK,,AGX,,20.399685957717146 
true,16.7,74.220007,Kolhapur,IND,,IXG,,BOM,,IXG,,AGX,,20.999349240651682 
true,20.709988,77.010017,Akola,IND,,IXU,,HYD,,IXU,,HJR,,21.786111005181443 
true,19.169978,77.300026,Nanded,IND,,IXU,,HYD,,IXU,,HJR,,21.03462721955589 
true,15.359978,75.125016,Hubli,IND,,HBX,,BLR,,HBX,,AGX,,18.935123272540288 
true,12.309984,76.660013,Mysore,IND,,MYQ,,BLR,,MYQ,,AGX,,19.689413011564334 
true,17.34996,76.820003,Gulbarga,IND,,HYD,,HYD,,IXG,,AGX,,19.79526610844478 
true,-4.180017,13.280006,Kayes,COG,,PNR,,LAD,,PNR,,POG,,20.651629609637997 
true,26.160017,91.769995,Guwahati,IND,,GAU,,ZYL,,GAU,,SHL,,20.00193454614121 
true,44.850013,-0.595013,Bordeaux,FRA,,BOD,,BOD,,PGX,,ANG,,5.435293134214677 
true,-1.6333,13.583295,Franceville,GAB,,BZV,,LAD,,BZV,,LBV,,28.281209314917703 
true,43.289979,5.37501,Marseille,FRA,,MRS,,MRS,,AVN,,ANG,,6.062070884563741 
true,49.504974,0.10497,LeHavre,FRA,,LEH,,DOL,,LEH,,LGG,,4.792972222222223 
true,-45.569998,-72.070004,Coihaique,CHL,,BBA,,,,BRC,,BBA,,31.17677401580127 
true,16.26659,-0.050008,Gao,MLI,,NIM,,,,NIM,,BOY,,20.318930476319785 
true,-27.359998,-70.339981,Copiapo,CHL,,CPO,,,,SCL,,IRJ,,34.7774555388426 
true,66.950008,-53.666606,Sisimiut,GRL,,JHS,,,,GOH,,JHS,,14.082085450839072 
false,61.166588,-45.416618,Narsarsuaq,GRL,UAK,UAK,,,,GOH,,UAK,, 
false,72.709367,-56.141675,Upernavik,GRL,JUV,JUV,,,,GOH,,JAV,, 
true,-18.500022,-70.289984,Arica,CHL,,ARI,,,,VVI,,IQQ,,28.694000430845836 
true,77.483473,-69.332239,Qaanaaq,GRL,,NAQ,,,,,,,,20.259452170086465 
true,-29.899998,-71.249977,LaSerena,CHL,,LSC,,,,SCL,,MDZ,,30.53931664995371 
true,20.900002,-17.056024,Nouadhibou,MRT,,NDB,,SID,,NDB,,VDE,,12.262089071264308 
true,-37.460002,-72.359987,LosAngeles,CHL,,CCP,,,,BRC,,CCP,,30.170776511762487 
true,14.449982,-11.44001,Kayes,MLI,,BKO,,FNA,,BKO,,ZIG,,21.475532707655844 
true,13.439992,-6.260016,Segou,MLI,,BKO,,FNA,,BKO,,BOY,,17.063504929878068 
true,24.199982,23.289989,AlJawf,LBY,,AKF,,LXR,,ATZ,,AKF,,14.365880462640922 
true,32.379973,15.099998,Misratah,LBY,,MRA,,TIP,,MRA,,PNL,,10.448732013410028 
true,32.93441,12.079149,Zuwarah,LBY,,TIP,,TIP,,DJE,,PNL,,9.691019049626055 
