airport,time,valid,lat,lon,name,timetoairport
MVD,25.154565472531484,true,-33.543999,-56.900997,Trinidad,2.7575
TML,17.108775578041254,true,9.261,0.789004,Bassar,3.854444444444445
MVD,23.904843250309263,true,-34.099002,-56.214998,Florida,1.5077777777777779
MVD,23.229565472531483,true,-34.538004,-56.284001,Canelones,0.8325
TML,19.073497800263475,true,8.557002,0.984996,Sotouboua,5.819166666666666
GAE,8.59685365681868,true,33.399999,10.4167,Medenine,0.9888888888888889
GAF,9.508572524146533,true,33.689997,8.971003,Kebili,1.9547222222222222
DJE,9.770323765303026,true,33.000003,10.466704,Tataouine,2.171111111111111
TUN,5.151191955936781,true,36.866673,10.199998,L'Ariana,0.09472222222222222
AAE,9.132630774432862,true,36.500004,8.749999,Jendouba,2.198888888888889
TEE,9.264542736352738,true,35.216703,8.716699,Kasserine,1.7033333333333334
GAF,9.286628079702087,true,35.016696,9.500004,Sdid Bouzid,1.7327777777777778
NBE,7.584682047453423,true,36.083304,9.383302,Siliana,2.383888888888889
MIR,7.4399171843871175,true,35.730702,10.767295,Monastir,0.16611111111111113
MIR,8.237972739942673,true,35.483913,11.040877,Mahdia,0.9641666666666667
NBE,6.295793158564535,true,36.399996,10.146997,Zaghouan,1.095
DIN,23.760439644539268,true,21.740004,103.343005,Luan Chau,1.8919444444444444
HAN,21.520467636032777,true,22.133333,105.833333,Bac Kan,2.136388888888889
DIN,24.494606311205935,true,21.328002,103.910005,Son La,2.626111111111111
HPH,28.496360913749456,true,21.845997,106.757002,Lang Son,3.142777777777778
HAN,21.081023191588333,true,21.817998,105.211,Tuyen Quang,1.6969444444444444
HAN,21.047134302699444,true,21.705003,104.875003,Yen Bai,1.6630555555555555
HPH,26.218583135971677,true,20.942001,106.331005,Hai Duong,0.865
HPH,26.557749802638345,true,20.450304,106.33303,Thai Binh,1.2041666666666666
TBB,23.15806231531886,true,13.082004,109.315999,Tuy Hoa,0.1361111111111111
HUI,23.59656843686884,true,16.849998,107.133301,Dong Ha,1.2594444444444444
AEB,28.935184012651238,true,22.663998,106.268005,Cao Bang,5.593055555555555
