destination,route,length,stops
AUX,"AUX,MAB,IMP,SLZ,FOR,LIS,LONDON",14.553884948672888,7
PMW,"PMW,AUX,MAB,IMP,SLZ,FOR,LIS,LONDON",15.112706969396019,8
BRA,"BRA,SSA,LIS,LONDON",14.667563961491226,4
BSB,"BSB,LIS,LONDON",14.776431510448969,3
SSA,"SSA,LIS,LONDON",13.451257178830833,3
OPS,"OPS,BSB,LIS,LONDON",16.34090991528326,4
RAO,"RAO,CNF,LIS,LONDON",15.73733630902468,4
CAC,"CAC,VCP,LIS,LONDON",16.973138685414348,4
GRU,"GRU,LONDON",15.78031930223676,2
CGB,"CGB,BSB,LIS,LONDON",16.23907923437083,4
GYN,"GYN,BSB,LIS,LONDON",15.047637782955015,4
CGR,"CGR,BSB,LIS,LONDON",16.239006555371326,4
DOU,"DOU,CGR,BSB,LIS,LONDON",16.56454100170691,5
GIG,"GIG,LONDON",15.435667290538285,2
UBA,"UBA,UDI,BSB,LIS,LONDON",15.506945216631067,5
UDI,"UDI,BSB,LIS,LONDON",15.33721618007744,4
VDC,"VDC,SSA,LIS,LONDON",14.032913815425484,4
PLU,"PLU,VDC,SSA,LIS,LONDON",15.106542453607737,5
SJP,"SJP,BSB,LIS,LONDON",15.729558594576297,4
BRL,"BRL,ORD,LONDON",11.075689242432441,3
ORD,"ORD,LONDON",10.576089036877187,2
STL,"STL,DTW,LONDON",11.256419525869346,3
DEC,"DEC,ORD,LONDON",10.995597010516871,3
JBR,"JBR,STL,DTW,LONDON",11.79854301486277,4
CGA,"CGA,KTN,SEA,LONDON",14.807805576959531,4
HYL,"HYL,KTN,SEA,LONDON",14.756058463790273,4
KTN,"KTN,SEA,LONDON",14.655241588582033,3
KTB,"KTB,KTN,SEA,LONDON",14.761308769556496,4
MTM,"MTM,KTN,SEA,LONDON",14.699238112055973,4
LOS,"LOS,LONDON",8.349980296154222,2
ROB,"ROB,CMN,LONDON",8.554046787407042,3
BCN,"BCN,LONDON",1.921763825780468,2
BJL,"BJL,CMN,LONDON",7.517566133594563,3
FNA,"FNA,LONDON",8.188801081796893,2
CKY,"CKY,CMN,LONDON",8.030043269797838,3
OXB,"OXB,CMN,LONDON",7.7105050962485,3
DLA,"DLA,CDG,LONDON",8.99867806874738,3
LONDON,LONDON,0,1
AKV,"AKV,YPX,YVP,YKL,YWK,YYR,YYT,LONDON",10.369738606678778,8
YIK,"YIK,YZG,YWB,YQC,YKG,YVP,YKL,YWK,YYR,YYT,LONDON",10.642197834442717,11
YPX,"YPX,YVP,YKL,YWK,YYR,YYT,LONDON",10.207056600209077,7
XGR,"XGR,YVP,YKL,YWK,YYR,YYT,LONDON",9.5520474883165,7
YVP,"YVP,YKL,YWK,YYR,YYT,LONDON",9.289650246760148,6
YGL,"YGL,YUL,LONDON",10.278622764947807,3
YGW,"YGW,YVP,YKL,YWK,YYR,YYT,LONDON",10.372466434436827,7
YUL,"YUL,LONDON",8.69463096397234,2
YPH,"YPH,YVP,YKL,YWK,YYR,YYT,LONDON",10.231575011921858,7
YSK,"YSK,YGW,YVP,YKL,YWK,YYR,YYT,LONDON",10.65146999976104,8
YUD,"YUD,YPH,YVP,YKL,YWK,YYR,YYT,LONDON",10.622424913942071,8
YUY,"YUY,YUL,LONDON",9.515406638175008,3
YZG,"YZG,YWB,YQC,YKG,YVP,YKL,YWK,YYR,YYT,LONDON",10.44273691099363,10
YKG,"YKG,YVP,YKL,YWK,YYR,YYT,LONDON",9.677589669882,7
YPJ,"YPJ,YVP,YKL,YWK,YYR,YYT,LONDON",9.539156054825604,7
YQC,"YQC,YKG,YVP,YKL,YWK,YYR,YYT,LONDON",9.86964486935045,8
YKL,"YKL,YWK,YYR,YYT,LONDON",8.65761283434511,5
YQB,"YQB,YUL,LONDON",9.08292162903418,3
YWK,"YWK,YYR,YYT,LONDON",8.308524336052919,4
YZV,"YZV,YNA,YHR,YIF,YBX,YAY,YYT,LONDON",8.278557206841647,8
YTQ,"YTQ,YVP,YKL,YWK,YYR,YYT,LONDON",9.472095969447423,7
YWB,"YWB,YQC,YKG,YVP,YKL,YWK,YYR,YYT,LONDON",10.098483398494109,9
JIB,"JIB,CDG,LONDON",9.900548919193563,3
DXB,"DXB,LONDON",9.155988578087815,2
JED,"JED,LONDON",7.911013808810382,2
MGQ,"MGQ,JIB,CDG,LONDON",11.710678190145746,4
NBO,"NBO,LONDON",11.403442294248283,2
BKK,"BKK,LONDON",15.951314346633904,2
SIN,"SIN,LONDON",18.127546322785925,2
DRW,"DRW,MNL,LONDON",23.237733133934015,3
HAK,"HAK,KWE,URC,TSE,LONDON",16.07470006995658,5
HGH,"HGH,AMS,LONDON",15.475613965597239,3
HKG,"HKG,LONDON",16.03771346357066,2
HKT,"HKT,DME,LONDON",16.61126187824472,3
KIX,"KIX,HEL,LONDON",15.951706462755096,3
TPE,"TPE,AMS,LONDON",16.343026704572665,3
KUL,"KUL,LONDON",17.664630549898288,2
PEN,"PEN,HKT,DME,LONDON",17.24567407770826,4
PER,"PER,DXB,LONDON",24.225187562311994,3
PNH,"PNH,BKK,LONDON",16.791178829378577,3
REP,"REP,BKK,LONDON",16.50589977797931,3
RGN,"RGN,DAC,LONDON",14.97227431278316,3
SGN,"SGN,DME,LONDON",17.035563620516744,3
SWA,"SWA,CSX,XIY,HEL,LONDON",16.160312878194333,5
ACH,"ACH,VIE,LONDON",2.997886933427674,3
EBA,"EBA,BRN,LONDON",2.1295338078079418,3
DRS,"DRS,LONDON",1.6374651878678037,2
DUS,"DUS,LONDON",0.8272121901272059,2
FDH,"FDH,FRA,LONDON",1.5336746529665342,3
MUC,"MUC,LONDON",1.5636189533772453,2
HAM,"HAM,LONDON",1.2297150069827323,2
OLB,"OLB,LONDON",2.338959477108137,2
TXL,"TXL,LONDON",1.5673742665308124,2
ZAD,"ZAD,LONDON",2.3841091177343072,2
FMM,"FMM,LONDON",1.428976865213348,2
NAP,"NAP,LONDON",2.716217051092293,2
GRZ,"GRZ,MUC,LONDON",2.084742528132403,3
SZG,"SZG,LONDON",1.7453910311461307,2
ATL,"ATL,LONDON",11.27328946286783,2
LWB,"LWB,IAD,LONDON",10.314142340929344,3
MCN,"MCN,ATL,LONDON",11.48588415141971,3
MEI,"MEI,ATL,LONDON",11.987493794485786,3
MSL,"MSL,ATL,LONDON",11.802558155362608,3
PIB,"PIB,ATL,LONDON",12.1390051676344,3
TUP,"TUP,ATL,LONDON",11.950869659767374,3
BIM,"BIM,FLL,BOS,LONDON",12.225436338308791,4
FLL,"FLL,BOS,LONDON",12.06204771771184,3
ELH,"ELH,NAS,LONDON",11.789535997224768,3
PBI,"PBI,BOS,LONDON",11.954013757602345,3
EYW,"EYW,MIA,LONDON",12.192114800910355,3
RSW,"RSW,MCO,LONDON",11.97412623014028,3
TPA,"TPA,LONDON",11.814451446512566,2
FPO,"FPO,NAS,LONDON",11.983877794729766,3
GGT,"GGT,NAS,LONDON",12.018632299650198,3
GHB,"GHB,NAS,LONDON",11.83125645271755,3
MCO,"MCO,LONDON",11.615679090020581,2
MHH,"MHH,NAS,LONDON",11.915722634465077,3
TCB,"TCB,FLL,BOS,LONDON",12.5370526908466,4
GLH,"GLH,TUP,ATL,LONDON",12.321536180272455,4
GNV,"GNV,CLT,LONDON",11.732061132441142,3
JAX,"JAX,BOS,LONDON",11.449311385340923,3
PNS,"PNS,DCA,EWR,LONDON",11.996116148691616,4
TLH,"TLH,CLT,LONDON",11.725944878395596,3
AMS,"AMS,LONDON",0.6055251563862015,2
NDR,"NDR,BCN,LONDON",3.3070489786875683,3
TNG,"TNG,LONDON",3.018934563712143,2
CMN,"CMN,LONDON",3.5029247859734274,2
BGY,"BGY,LONDON",1.6421112189419567,2
BLQ,"BLQ,LONDON",1.9378531406418091,2
BRU,"BRU,LONDON",0.5766292800736333,2
CGN,"CGN,LONDON",0.8820237269763611,2
CUF,"CUF,AHO,LONDON",3.0342101079894235,3
LYS,"LYS,LONDON",1.2663369237474642,2
MPL,"MPL,LONDON",1.5700859301029708,2
SAW,"SAW,LONDON",4.24627588857127,2
TLS,"TLS,LONDON",1.4800608240312156,2
TSF,"TSF,LONDON",1.883826821422869,2
FEZ,"FEZ,LONDON",3.319785097813592,2
PMI,"PMI,LONDON",2.255146332301102,2
AUA,"AUA,CUR,SXM,ANU,LONDON",12.92567001389419,5
LSP,"LSP,CUR,SXM,ANU,LONDON",12.95490256417916,5
MAR,"MAR,CUR,SXM,ANU,LONDON",13.312720408518048,5
BON,"BON,CUR,SXM,ANU,LONDON",12.85170838327019,5
CUR,"CUR,SXM,ANU,LONDON",12.726011854377578,4
BHK,"BHK,DME,LONDON",8.588227555449965,3
FEG,"FEG,TAS,LONDON",9.139767159241346,3
KSQ,"KSQ,DME,LONDON",8.853909926189582,3
NMA,"NMA,TAS,LONDON",9.077798473723856,3
NVI,"NVI,DME,LONDON",8.602469330253115,3
SKD,"SKD,DME,LONDON",8.829348839682606,3
TIV,"TIV,LONDON",2.9348760085167345,2
ANU,"ANU,LONDON",10.93248034991596,2
PTP,"PTP,ANU,LONDON",11.100487341251764,3
CAY,"CAY,ORY,LONDON",12.421393012351063,3
FDF,"FDF,PTP,ANU,LONDON",11.424823916478527,4
SDQ,"SDQ,PUJ,LONDON",11.70991496336149,3
DOM,"DOM,ANU,LONDON",11.239845988620129,3
SXM,"SXM,ANU,LONDON",11.219093777473068,3
SLU,"SLU,ANU,LONDON",11.527427003130933,3
SBH,"SBH,ANU,LONDON",11.164627248606436,3
SFG,"SFG,SBH,ANU,LONDON",11.217300836168373,4
